id,symbolSize,LONGITUDE,LATITUDE,category,,,
1,11382,118.147063,24.53344756,0,,,
2,8262,118.1360579,24.53238253,0,,,
3,7624,118.1183593,24.51373167,0,,,
4,7140,118.0812188,24.46670259,1,,,
5,5892,118.154048,24.53083527,0,,,
6,5879,118.1216952,24.50132031,1,,,
7,5428,118.1036992,24.47138171,1,,,
8,5365,118.0760342,24.46355415,1,,,
9,5335,118.1094495,24.47474462,1,,,350223
10,5327,118.1814261,24.48300761,1,,,
11,5271,118.1687218,24.4866646,1,,,
12,5252,118.1557183,24.51499388,0,,,
13,5224,118.0988742,24.46942329,1,,,
14,4985,118.1491269,24.52478574,0,,,
15,4971,118.1684875,24.47313384,1,,,
16,4966,118.1742401,24.48388764,1,,,
17,4938,118.0694948,24.45994003,0,,,
18,4927,118.1488574,24.49817602,0,,,
19,4916,118.1009699,24.52844858,0,,,
20,4898,118.1138046,24.52144981,0,,,
21,4891,118.1096235,24.48914451,0,,,
22,4849,118.0861685,24.47047237,1,,,
23,4750,118.1042197,24.47756892,1,,,
24,4666,118.0894807,24.48343305,1,,,
25,4665,118.1418648,24.49454907,0,,,
26,4637,118.1475319,24.51411181,0,,,
27,4438,118.1276748,24.49575522,0,,,
28,4431,118.0936025,24.52093962,0,,,
29,4346,118.0879131,24.46587437,1,,,
30,4308,118.1145808,24.47877578,1,,,
31,4252,118.1599924,24.53657273,0,,,
32,4090,118.1165983,24.49210666,0,,,
33,4059,118.1227806,24.49239444,1,,,
34,4057,118.097683,24.47561793,1,,,
35,3968,118.1094288,24.49497693,1,,,
36,3822,118.1282461,24.50113805,0,,,
37,3784,118.1143588,24.49790816,0,,,
38,3775,118.1080437,24.48285951,1,,,
39,3765,118.1177258,24.48657285,1,,,
40,3752,118.1746521,24.46915994,1,,,
41,3747,118.0776369,24.4796779,1,,,
42,3736,118.0725043,24.46808465,1,,,
43,3725,118.1631333,24.47872597,1,,,
44,3724,118.1593271,24.48789753,0,,,
45,3693,118.1349744,24.49410992,0,,,
46,3674,118.1485792,24.49107996,0,,,
47,3653,118.1215781,24.49652035,1,,,
48,3598,118.1715883,24.50916106,0,,,
49,3521,118.1262693,24.53051223,0,,,
50,3469,118.1079574,24.51244995,0,,,
51,3362,118.1133015,24.48300737,0,,,
52,3337,118.1558859,24.47996005,1,,,
53,3323,118.1548021,24.48912274,0,,,
54,3258,118.1365064,24.49942474,0,,,
55,3246,118.0914356,24.47188367,0,,,
56,3242,118.1700603,24.4796893,1,,,
57,3191,118.1154175,24.47298649,1,,,
58,3117,118.1243381,24.50676923,0,,,
59,3096,118.1130057,24.54559496,0,,,
60,3075,118.1536783,24.50513619,0,,,
61,2998,118.0972231,24.48741418,1,,,
62,2978,118.1027315,24.48498457,1,,,
63,2813,118.0922095,24.49071082,1,,,
64,2756,118.1707209,24.49356078,1,,,
65,2715,118.0798063,24.45671632,0,,,
66,2696,118.093826,24.46926559,1,,,
67,2611,118.1837175,24.50937655,0,,,
68,2567,118.1385408,24.51329835,0,,,
69,2516,118.0869218,24.4599637,0,,,
70,2515,118.1768901,24.52589423,0,,,
71,2459,118.1819509,24.48838678,1,,,
72,2450,118.14328,24.50434561,0,,,
73,2364,118.1410592,24.5227722,0,,,
74,2349,118.121481,24.47567734,1,,,
75,2305,118.1014559,24.49283714,1,,,
76,2206,118.1479214,24.48050182,1,,,
77,2195,118.095187,24.51082491,0,,,
78,2000,118.0956709,24.46363507,1,,,
79,1991,118.0742535,24.48728522,1,,,
80,1913,118.1765221,24.48833456,1,,,
81,1879,118.133389,24.48829249,0,,,
82,1865,118.088297,24.50985314,0,,,
83,1839,118.131553,24.5086834,0,,,
84,1815,118.1767694,24.47563263,1,,,
85,1748,118.1868246,24.4796864,1,,,
86,1682,118.163948,24.49388951,0,,,
87,1665,118.1386128,24.47962637,0,,,
88,1650,118.1316861,24.51977428,0,,,
89,1589,118.0901674,24.47895347,1,,,
90,1585,118.1260807,24.48968085,1,,,
91,1480,118.1897809,24.48777775,1,,,
92,1479,118.1384815,24.48645606,0,,,
93,1478,118.1823041,24.47495947,0,,,
94,1366,118.0824238,24.49792223,1,,,
95,1159,118.1641916,24.4667478,1,,,
96,1046,118.1064864,24.46335983,1,,,
97,997,118.1457819,24.5447347,0,,,
98,919,118.1282677,24.47891444,1,,,
99,834,118.1861221,24.50231735,0,,,
100,677,118.1887326,24.49645272,1,,,
